id;species;weight_mean;clutchsize_mean;nest_position;migration;nocturnal;foraging.substrate_water;foraging.substrate_mud;foraging.substrate_ground;foraging.substrate_trunk;foraging.substrate_vegetation;foraging.substrate_air;foraging.method_pursuit;foraging.method_gleaning;foraging.method_pouncing;foraging.method_grazing;foraging.method_digging;foraging.method_scavenging;foraging.method_probing;diet_plant;diet_vertebrates;diet_invertebrates
233;Tetrao_urogallus;2900;7;ground;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1
234;Thryomanes_bewickii;9;5;hole;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
235;Tringa_ochropus;86;3;ground;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1
236;Troglodytes_aedon;11.5;6;hole;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1
237;Troglodytes_pacificus;10;6;hole;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1
238;Troglodytes_troglodytes;9;6;hole;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1
239;Turdus_iliacus;63;5;ground;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1
240;Turdus_merula;95;4;canopy;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1
241;Turdus_migratorius;76.5;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
242;Turdus_obscurus;89;5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
243;Turdus_pallidus;77;4.5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
244;Turdus_philomelos;78.5;5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1
245;Turdus_pilaris;111;5.5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1
246;Turdus_torquatus;114;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
247;Turdus_viscivorus;130;4;canopy;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1
248;Tyrannus_tyrannus;41;3.5;canopy;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1
249;Upupa_epops;67.5;6;hole;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
250;Vermivora_celata;9.5;5;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
251;Vermivora_ruficapilla;10.3;4.5;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
252;Vireo_cassinii;15.5;3.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
253;Vireo_gilvus;14.7;4;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
254;Vireo_olivaceus;17;4;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
255;Vireo_plumbeus;14.15;4;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
256;Wilsonia_pusilla;7.5;5;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
257;Zenaida_macroura;130.5;2;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
258;Zonotrichia_leucophrys;29.75;4.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
259;Zoothera_dauma;109;4;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
260;Zoothera_naevia;82.5;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
